id,name,maxScore,desc
research_concept,Nghiên cứu và Ý tưởng,2.5,"Phương pháp nghiên cứu, tính sáng tạo của ý tưởng, giải pháp công năng và tính thực tiễn."
technical_anatomy,Bản vẽ kỹ thuật và Quy chuẩn,3.0,"Độ chính xác mặt bằng, mặt đứng, mặt cắt, tỷ lệ, ghi chú kỹ thuật và cấu trúc."
visual_shading,Phối cảnh 3D và Diễn họa,2.5,"Góc nhìn, ánh sáng, vật liệu, chất lượng diễn họa và thẩm mỹ thị giác."
presentation,Trình bày và Hoàn thiện hồ sơ,2.0,"Bố cục, hệ thống thông tin, tính nhất quán và mức độ hoàn thiện."
